set_id,compound_id,compound_number,name,smiles,inchi,formula,charge,mode,carboxyl_count,hydroxyl_count,other_fg,nom_like_flag,source,pubchem_cid,comment,mass_val,H_C,O_C,nom_like_flag_vk,nom_like_flag_combined
set_01,PC00016,16,"3-[4-[5-[[carboxy-(3,4-dimethoxyphenyl)methyl]carbamoyl]-1-cyclohexylbenzimidazol-2-yl]phenyl]prop-2-enoic acid",COC1=C(C=C(C=C1)C(C(=O)O)NC(=O)C2=CC3=C(C=C2)N(C(=N3)C4=CC=C(C=C4)C=CC(=O)O)C5CCCCC5)OC,,C33H33N3O7,0,neg,2,2,,True,PubChem,490976,NOM-like candidate (random CID),,1.0,0.21212121212121213,True,True
set_01,PC00020,20,"3,5-dihydroxynaphthalene-2-carboxylic acid",C1=CC2=CC(=C(C=C2C(=C1)O)O)C(=O)O,,C11H8O4,0,neg,1,3,,True,PubChem,66637,NOM-like candidate (random CID),,0.7272727272727273,0.36363636363636365,True,True
set_01,PC00021,21,"4-[[(6,8-dihydroxy-2-oxo-3a,4,5,5a,6,7,8,8a,9,9a-decahydro-1H-azuleno[6,5-b]furan-1-yl)methylamino]methyl]cyclohexane-1-carboxylic acid",C1CC(CCC1CNCC2C3CC4C(CCC3OC2=O)C(CC4O)O)C(=O)O,,C21H33NO6,0,neg,1,3,,True,PubChem,322469,NOM-like candidate (random CID),,1.5714285714285714,0.2857142857142857,False,False
set_01,PC00023,23,phenyl hydrogen carbonate,C1=CC=C(C=C1)OC(=O)O,,C7H6O3,0,neg,1,1,,True,PubChem,66736,NOM-like candidate (random CID),,0.8571428571428571,0.42857142857142855,True,True
set_01,PC00026,26,"2-[[4-[(2,4-diaminopteridin-6-yl)methyl-methylamino]naphthalene-1-carbonyl]amino]pentanedioic acid",CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C4=CC=CC=C43)C(=O)NC(CCC(=O)O)C(=O)O,,C24H24N8O5,0,neg,2,2,,True,PubChem,425430,NOM-like candidate (random CID),,1.0,0.20833333333333334,True,True
set_01,PC00027,27,"(2R,3R,4S)-2-[(2S,3R,4R,5R,6R)-3-acetamido-2,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-3,4-dihydroxy-3,4-dihydro-2H-pyran-6-carboxylic acid",CC(=O)NC1C(C(C(OC1O)CO)O)OC2C(C(C=C(O2)C(=O)O)O)O,,C14H21NO11,0,neg,1,6,,True,PubChem,439481,NOM-like candidate (random CID),,1.5,0.7857142857142857,False,False
set_01,PC00028,28,"3-(5-ethoxycarbonyl-2,4-dimethyl-1H-pyrrol-3-yl)propanoic acid",CCOC(=O)C1=C(C(=C(N1)C)CCC(=O)O)C,,C12H17NO4,0,neg,1,1,,True,PubChem,142205,NOM-like candidate (random CID),,1.4166666666666667,0.3333333333333333,True,True
set_01,PC00029,29,"6-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-4-oxo-2H-pyrazolo[3,4-d]pyrimidine-3-carboxylic acid",C(C1C(C(C(O1)N2C3=NC(=NC(=O)C3=C(N2)C(=O)O)N)O)O)O,,C11H13N5O7,0,neg,1,4,,True,PubChem,122626,NOM-like candidate (random CID),,1.1818181818181819,0.6363636363636364,True,True
set_01,PC00031,31,(2S)-2-(3-methylbutanoylamino)propanoic acid,CC(C)CC(=O)NC(C)C(=O)O,,C8H15NO3,0,neg,1,1,,True,PubChem,129285,NOM-like candidate (random CID),,1.875,0.375,False,False
set_01,PC00032,32,"8-(3-methylanilino)-[1,3]dioxolo[4,5-g]quinoline-7-carboxylic acid",CC1=CC(=CC=C1)NC2=C(C=NC3=CC4=C(C=C32)OCO4)C(=O)O,,C18H14N2O4,0,neg,1,1,,True,PubChem,339592,NOM-like candidate (random CID),,0.7777777777777778,0.2222222222222222,True,True
